10,-6.02082972312421,-6.02065081325903,-3.01015960720077,-26.7112117493707,-29.7398408986098,-117.926928020653,-94.1744431826974,-97.094723970993,-89.8559877509643,-99.8816046315957
10.25,-6.02082848225454,-6.02065399883216,-3.01015863485127,-26.4786621948411,-29.8305064199322,-115.91038435096,-93.7174002008283,-96.6419896508391,-89.4393848099912,-99.4415255105026
10.5,-6.02082461484714,-6.02065782011216,-3.01015865784917,-26.2165185716544,-29.8919717436692,-114.209878699121,-93.2245894975806,-96.1466565127281,-88.9874354226492,-99.0081996539824
10.75,-6.02081754761987,-6.02066238417591,-3.01015990927278,-25.9285762833225,-29.9286452621211,-112.743724174704,-92.7001557396075,-95.6112682571106,-88.5034718314351,-98.5828362291227
11,-6.02080692662547,-6.02066757916553,-3.01016262198476,-25.6175257832933,-29.9438560003836,-111.454805460563,-92.1470802922738,-95.0371516140956,-87.9896097795202,-98.1660431522558
11.25,-6.02079260914752,-6.02067309531654,-3.01016702216292,-25.2852842883649,-29.9401933953353,-110.304086956098,-91.5674946444672,-94.4246958086075,-87.4470598077905,-97.7580590948333
11.5,-6.02077463440314,-6.02067845510139,-3.01017332912422,-24.9332068595409,-29.919727635441,-109.264698416279,-90.9628782346613,-93.7735081976207,-86.8762940759747,-97.3588977239172
11.75,-6.02075321038039,-6.02068304598611,-3.01018174509525,-24.5622249757737,-29.8841589934713,-108.317898301921,-90.3341773492655,-93.0824849334879,-86.2771540523763,-96.968427686205
12,-6.02072867693323,-6.02068616340701,-3.01019245182577,-24.1729394690554,-29.8349234919364,-107.450547319688,-89.6818764277431,-92.3498164599041,-85.648871619976,-96.5864365386599
12.25,-6.02070147154198,-6.02068705974365,-3.01020560634263,-23.7656835358819,-29.7732712762198,-106.653434106158,-89.0060448272569,-91.5729498992883,-84.9900682377959,-96.2126204534699
12.5,-6.02067209617579,-6.02068498842656,-3.01022132906089,-23.3405654694782,-29.7003279919071,-105.920125484874,-88.3063437265196,-90.7484790875558,-84.2986680403215,-95.8466867601303
12.75,-6.02064107115727,-6.020679265119,-3.01023970265884,-22.8974967750333,-29.6171460786119,-105.245940815414,-87.5820241183616,-89.871978869884,-83.5717864690145,-95.4882849547492
13,-6.0206088978948,-6.02066931839949,-3.01026076178492,-22.4362095481801,-29.5247511521954,-104.626748351173,-86.831896265476,-88.9377318248569,-82.8055100203817,-95.1370562886183
