10,-16.8305947441474,-19.1393319855656,-3.30040554469966,-3.01577144018681,-18.9367303187007,-45.1455648047621,-48.8367215873743
10.25,-17.3792972082204,-19.7263541155726,-3.26398397843804,-3.01520611368547,-18.4688211987581,-44.9940225431354,-48.7165477093071
10.5,-17.8926100348653,-20.252428859763,-3.23460834120611,-3.01475082132795,-17.9684564218609,-44.7985165208915,-48.5984181253096
10.75,-18.3775269581423,-20.7188825702497,-3.21058081044411,-3.01437778110501,-17.432173676554,-44.5621256240722,-48.4831957077911
11,-18.8407849185714,-21.1230324976377,-3.19072908234581,-3.0140684861823,-16.8603159643583,-44.2866562857178,-48.3738950710827
11.25,-19.2904773752469,-21.4553419130972,-3.17424812493706,-3.01381046486097,-16.2670652397056,-43.97292920639,-48.2775920999579
11.5,-19.7409216272459,-21.6886731377062,-3.16065374126314,-3.01359560317986,-15.7365610552667,-43.6209000612773,-48.2127168050735
11.75,-20.2514789625945,-21.6919243743146,-3.15021596283106,-3.01342017214367,-16.3639910670018,-43.2293319605321,-48.2693494908844
12,-24.1062171872457,-25.5997874122468,-3.69291888789398,-3.01307411038337,-11.7780303502333,-42.7983484516515,-50.7538330233966
12.25,-25.9961913977908,-27.8697733614319,-3.94333470051382,-3.01285697389743,-10.323982181118,-42.3277029861262,-51.7298196526026
12.5,-27.3742563287119,-29.5937110052389,-4.11442837204971,-3.01268814249949,-9.6022310694689,-41.8131045366694,-52.3606870698245
12.75,-28.4895009744886,-31.0428627487484,-4.24683686914192,-3.01255080196339,-9.13834766926968,-41.2510294400012,-52.822086015613
13,-29.431423087904,-32.3133816094737,-4.35521517300928,-3.01243829928138,-8.8048777367997,-40.6369064553715,-53.1767653932932
13.25,-30.2446044046153,-33.452434526514,-4.44693941866569,-3.01234724980216,-8.54916004083873,-39.9648053328963,-53.4567256719469
13.5,-30.9546951057818,-34.4866264745613,-4.52638701018038,-3.01227602254308,-8.34444839514263,-39.2269771598836,-53.6819177235593
13.75,-31.5772946915557,-35.4316109384087,-4.59644186080398,-3.01222435140698,-8.17532018422149,-38.4131403970038,-53.8669654697385
14,-32.1215031779308,-36.2957873038577,-4.65916050275985,-3.01219343414362,-8.03204486902435,-37.5093291633099,-54.0244717849263
